Date,Close
"Dec 30, 2022","10,466.48"
"Dec 29, 2022","10,478.09"
"Dec 28, 2022","10,213.29"
"Dec 27, 2022","10,353.23"
"Dec 23, 2022","10,497.86"
"Dec 22, 2022","10,476.12"
"Dec 21, 2022","10,709.37"
"Dec 20, 2022","10,547.11"
"Dec 19, 2022","10,546.03"
"Dec 16, 2022","10,705.41"
"Dec 15, 2022","10,810.53"
"Dec 14, 2022","11,170.89"
"Dec 13, 2022","11,256.81"
"Dec 12, 2022","11,143.74"
"Dec 09, 2022","11,004.62"
"Dec 08, 2022","11,082.00"
"Dec 07, 2022","10,958.55"
"Dec 06, 2022","11,014.89"
"Dec 05, 2022","11,239.94"
"Dec 02, 2022","11,461.50"
"Dec 01, 2022","11,482.45"
"nov 30, 2022","11,468.00"
"nov 29, 2022","10,983.78"
"nov 28, 2022","11,049.50"
"nov 25, 2022","11,226.36"
"nov 23, 2022","11,285.32"
"nov 22, 2022","11,174.41"
"nov 21, 2022","11,024.51"
"nov 18, 2022","11,146.06"
"nov 17, 2022","11,144.96"
"nov 16, 2022","11,183.66"
"nov 15, 2022","11,358.41"
"nov 14, 2022","11,196.22"
"nov 11, 2022","11,323.33"
"nov 10, 2022","11,114.15"
"nov 09, 2022","10,353.17"
"nov 08, 2022","10,616.20"
"nov 07, 2022","10,564.52"
"nov 04, 2022","10,475.25"
"nov 03, 2022","10,342.94"
"nov 02, 2022","10,524.80"
"nov 01, 2022","10,890.85"
"oct 31, 2022","10,988.15"
"oct 28, 2022","11,102.45"
"oct 27, 2022","10,792.67"
"oct 26, 2022","10,970.99"
"oct 25, 2022","11,199.12"
"oct 24, 2022","10,952.61"
"oct 21, 2022","10,859.72"
"oct 20, 2022","10,614.84"
"oct 19, 2022","10,680.51"
"oct 18, 2022","10,772.40"
"oct 17, 2022","10,675.80"
"oct 14, 2022","10,321.39"
"oct 13, 2022","10,649.15"
"oct 12, 2022","10,417.10"
"oct 11, 2022","10,426.19"
"oct 10, 2022","10,542.10"
"oct 07, 2022","10,652.40"
"oct 06, 2022","11,073.31"
"oct 05, 2022","11,148.64"
"oct 04, 2022","11,176.41"
"oct 03, 2022","10,815.43"
"Sep 30, 2022","10,575.62"
"Sep 29, 2022","10,737.51"
"Sep 28, 2022","11,051.64"
"Sep 27, 2022","10,829.50"
"Sep 26, 2022","10,802.92"
"Sep 23, 2022","10,867.93"
"Sep 22, 2022","11,066.81"
"Sep 21, 2022","11,220.19"
"Sep 20, 2022","11,425.05"
"Sep 19, 2022","11,535.02"
"Sep 16, 2022","11,448.40"
"Sep 15, 2022","11,552.36"
"Sep 14, 2022","11,719.68"
"Sep 13, 2022","11,633.57"
"Sep 12, 2022","12,266.41"
"Sep 09, 2022","12,112.31"
"Sep 08, 2022","11,862.13"
"Sep 07, 2022","11,791.90"
"Sep 06, 2022","11,544.91"
"Sep 02, 2022","11,630.86"
"Sep 01, 2022","11,785.13"
"Aug 31, 2022","11,816.20"
"Aug 30, 2022","11,883.14"
"Aug 29, 2022","12,017.67"
"Aug 26, 2022","12,141.71"
"Aug 25, 2022","12,639.27"
"Aug 24, 2022","12,431.53"
"Aug 23, 2022","12,381.30"
"Aug 22, 2022","12,381.57"
"Aug 19, 2022","12,705.22"
"Aug 18, 2022","12,965.34"
"Aug 17, 2022","12,938.12"
"Aug 16, 2022","13,102.55"
"Aug 15, 2022","13,128.05"
"Aug 12, 2022","13,047.19"
"Aug 11, 2022","12,779.91"
"Aug 10, 2022","12,854.80"
"Aug 09, 2022","12,493.93"
"Aug 08, 2022","12,644.46"
"Aug 05, 2022","12,657.55"
"Aug 04, 2022","12,720.58"
"Aug 03, 2022","12,668.16"
"Aug 02, 2022","12,348.76"
"Aug 01, 2022","12,368.98"
"jul 29, 2022","12,390.69"
"jul 28, 2022","12,162.59"
"jul 27, 2022","12,032.42"
"jul 26, 2022","11,562.57"
"jul 25, 2022","11,782.67"
"jul 22, 2022","11,834.11"
"jul 21, 2022","12,059.61"
"jul 20, 2022","11,897.65"
"jul 19, 2022","11,713.15"
"jul 18, 2022","11,360.05"
"jul 15, 2022","11,452.42"
"jul 14, 2022","11,251.19"
"jul 13, 2022","11,247.58"
"jul 12, 2022","11,264.73"
"jul 11, 2022","11,372.60"
"jul 08, 2022","11,635.31"
"jul 07, 2022","11,621.35"
"jul 06, 2022","11,361.85"
"jul 05, 2022","11,322.24"
"jul 01, 2022","11,127.85"
"jun 30, 2022","11,028.74"
"jun 29, 2022","11,177.89"
"jun 28, 2022","11,181.54"
"jun 27, 2022","11,524.55"
"jun 24, 2022","11,607.62"
"jun 23, 2022","11,232.19"
"jun 22, 2022","11,053.08"
"jun 21, 2022","11,069.30"
"jun 17, 2022","10,798.35"
"jun 16, 2022","10,646.10"
"jun 15, 2022","11,099.15"
"jun 14, 2022","10,828.35"
"jun 13, 2022","10,809.23"
"jun 10, 2022","11,340.02"
"jun 09, 2022","11,754.23"
"jun 08, 2022","12,086.27"
"jun 07, 2022","12,175.23"
"jun 06, 2022","12,061.37"
"jun 03, 2022","12,012.73"
"jun 02, 2022","12,316.90"
"jun 01, 2022","11,994.46"
"may 31, 2022","12,081.39"
"may 27, 2022","12,131.13"
"may 26, 2022","11,740.65"
"may 25, 2022","11,434.74"
"may 24, 2022","11,264.45"
"may 23, 2022","11,535.27"
"may 20, 2022","11,354.62"
"may 19, 2022","11,388.50"
"may 18, 2022","11,418.15"
"may 17, 2022","11,984.52"
"may 16, 2022","11,662.79"
"may 13, 2022","11,805.00"
"may 12, 2022","11,370.96"
"may 11, 2022","11,364.24"
"may 10, 2022","11,737.67"
