Date,Close
"Dec 30, 2022","3,839.50"
"Dec 29, 2022","3,849.28"
"Dec 28, 2022","3,783.22"
"Dec 27, 2022","3,829.25"
"Dec 23, 2022","3,844.82"
"Dec 22, 2022","3,822.39"
"Dec 21, 2022","3,878.44"
"Dec 20, 2022","3,821.62"
"Dec 19, 2022","3,817.66"
"Dec 16, 2022","3,852.36"
"Dec 15, 2022","3,895.75"
"Dec 14, 2022","3,995.32"
"Dec 13, 2022","4,019.65"
"Dec 12, 2022","3,990.56"
"Dec 09, 2022","3,934.38"
"Dec 08, 2022","3,963.51"
"Dec 07, 2022","3,933.92"
"Dec 06, 2022","3,941.26"
"Dec 05, 2022","3,998.84"
"Dec 02, 2022","4,071.70"
"Dec 01, 2022","4,076.57"
"nov 30, 2022","4,080.11"
"nov 29, 2022","3,957.63"
"nov 28, 2022","3,963.94"
"nov 25, 2022","4,026.12"
"nov 23, 2022","4,027.26"
"nov 22, 2022","4,003.58"
"nov 21, 2022","3,949.94"
"nov 18, 2022","3,965.34"
"nov 17, 2022","3,946.56"
"nov 16, 2022","3,958.79"
"nov 15, 2022","3,991.73"
"nov 14, 2022","3,957.25"
"nov 11, 2022","3,992.93"
"nov 10, 2022","3,956.37"
"nov 09, 2022","3,748.57"
"nov 08, 2022","3,828.11"
"nov 07, 2022","3,806.80"
"nov 04, 2022","3,770.55"
"nov 03, 2022","3,719.89"
"nov 02, 2022","3,759.69"
"nov 01, 2022","3,856.10"
"oct 31, 2022","3,871.98"
"oct 28, 2022","3,901.06"
"oct 27, 2022","3,807.30"
"oct 26, 2022","3,830.60"
"oct 25, 2022","3,859.11"
"oct 24, 2022","3,797.34"
"oct 21, 2022","3,752.75"
"oct 20, 2022","3,665.78"
"oct 19, 2022","3,695.16"
"oct 18, 2022","3,719.98"
"oct 17, 2022","3,677.95"
"oct 14, 2022","3,583.07"
"oct 13, 2022","3,669.91"
"oct 12, 2022","3,577.03"
"oct 11, 2022","3,588.84"
"oct 10, 2022","3,612.39"
"oct 07, 2022","3,639.66"
"oct 06, 2022","3,744.52"
"oct 05, 2022","3,783.28"
"oct 04, 2022","3,790.93"
"oct 03, 2022","3,678.43"
"Sep 30, 2022","3,585.62"
"Sep 29, 2022","3,640.47"
"Sep 28, 2022","3,719.04"
"Sep 27, 2022","3,647.29"
"Sep 26, 2022","3,655.04"
"Sep 23, 2022","3,693.23"
"Sep 22, 2022","3,757.99"
"Sep 21, 2022","3,789.93"
"Sep 20, 2022","3,855.93"
"Sep 19, 2022","3,899.89"
"Sep 16, 2022","3,873.33"
"Sep 15, 2022","3,901.35"
"Sep 14, 2022","3,946.01"
"Sep 13, 2022","3,932.69"
"Sep 12, 2022","4,110.41"
"Sep 09, 2022","4,067.36"
"Sep 08, 2022","4,006.18"
"Sep 07, 2022","3,979.87"
"Sep 06, 2022","3,908.19"
"Sep 02, 2022","3,924.26"
"Sep 01, 2022","3,966.85"
