Date,Close
"Dec 30, 2022","33,147.25"
"Dec 29, 2022","33,220.80"
"Dec 28, 2022","32,875.71"
"Dec 27, 2022","33,241.56"
"Dec 23, 2022","33,203.93"
"Dec 22, 2022","33,027.49"
"Dec 21, 2022","33,376.48"
"Dec 20, 2022","32,849.74"
"Dec 19, 2022","32,757.54"
"Dec 16, 2022","32,920.46"
"Dec 15, 2022","33,202.22"
"Dec 14, 2022","33,966.35"
"Dec 13, 2022","34,108.64"
"Dec 12, 2022","34,005.04"
"Dec 09, 2022","33,476.46"
"Dec 08, 2022","33,781.48"
"Dec 07, 2022","33,597.92"
"Dec 06, 2022","33,596.34"
"Dec 05, 2022","33,947.10"
"Dec 02, 2022","34,429.88"
"Dec 01, 2022","34,395.01"
"nov 30, 2022","34,589.77"
"nov 29, 2022","33,852.53"
"nov 28, 2022","33,849.46"
"nov 25, 2022","34,347.03"
"nov 23, 2022","34,194.06"
"nov 22, 2022","34,098.10"
"nov 21, 2022","33,700.28"
"nov 18, 2022","33,745.69"
"nov 17, 2022","33,546.32"
"nov 16, 2022","33,553.83"
"nov 15, 2022","33,592.92"
"nov 14, 2022","33,536.70"
"nov 11, 2022","33,747.86"
"nov 10, 2022","33,715.37"
"nov 09, 2022","32,513.94"
"nov 08, 2022","33,160.83"
"nov 07, 2022","32,827.00"
"nov 04, 2022","32,403.22"
"nov 03, 2022","32,001.25"
"nov 02, 2022","32,147.76"
"nov 01, 2022","32,653.20"
"oct 31, 2022","32,732.95"
"oct 28, 2022","32,861.80"
"oct 27, 2022","32,033.28"
"oct 26, 2022","31,839.11"
"oct 25, 2022","31,836.74"
"oct 24, 2022","31,499.62"
"oct 21, 2022","31,082.56"
"oct 20, 2022","30,333.59"
"oct 19, 2022","30,423.81"
"oct 18, 2022","30,523.80"
"oct 17, 2022","30,185.82"
"oct 14, 2022","29,634.83"
"oct 13, 2022","30,038.72"
"oct 12, 2022","29,210.85"
"oct 11, 2022","29,239.19"
"oct 10, 2022","29,202.88"
"oct 07, 2022","29,296.79"
"oct 06, 2022","29,926.94"
"oct 05, 2022","30,273.87"
"oct 04, 2022","30,316.32"
"oct 03, 2022","29,490.89"
"Sep 30, 2022","28,725.51"
"Sep 29, 2022","29,225.61"
"Sep 28, 2022","29,683.74"
"Sep 27, 2022","29,134.99"
"Sep 26, 2022","29,260.81"
"Sep 23, 2022","29,590.41"
"Sep 22, 2022","30,076.68"
"Sep 21, 2022","30,183.78"
"Sep 20, 2022","30,706.23"
"Sep 19, 2022","31,019.68"
"Sep 16, 2022","30,822.42"
"Sep 15, 2022","30,961.82"
"Sep 14, 2022","31,135.09"
"Sep 13, 2022","31,104.97"
"Sep 12, 2022","32,381.34"
"Sep 09, 2022","32,151.71"
"Sep 08, 2022","31,774.52"
"Sep 07, 2022","31,581.28"
"Sep 06, 2022","31,145.30"
"Sep 02, 2022","31,318.44"
"Sep 01, 2022","31,656.42"
"Aug 31, 2022","31,510.43"
"Aug 30, 2022","31,790.87"
"Aug 29, 2022","32,098.99"
"Aug 26, 2022","32,283.40"
"Aug 25, 2022","33,291.78"
"Aug 24, 2022","32,969.23"
"Aug 23, 2022","32,909.59"
"Aug 22, 2022","33,063.61"
"Aug 19, 2022","33,706.74"
"Aug 18, 2022","33,999.04"
"Aug 17, 2022","33,980.32"
"Aug 16, 2022","34,152.01"
"Aug 15, 2022","33,912.44"
"Aug 12, 2022","33,761.05"
"Aug 11, 2022","33,336.67"
"Aug 10, 2022","33,309.51"
"Aug 09, 2022","32,774.41"
"Aug 08, 2022","32,832.54"
"Aug 05, 2022","32,803.47"
"Aug 04, 2022","32,726.82"
"Aug 03, 2022","32,812.50"
"Aug 02, 2022","32,396.17"
"Aug 01, 2022","32,798.40"
"jul 29, 2022","32,845.13"
"jul 28, 2022","32,529.63"
"jul 27, 2022","32,197.59"
"jul 26, 2022","31,761.54"
"jul 25, 2022","31,990.04"
"jul 22, 2022","31,899.29"
"jul 21, 2022","32,036.90"
"jul 20, 2022","31,874.84"
"jul 19, 2022","31,827.05"
"jul 18, 2022","31,072.61"
"jul 15, 2022","31,288.26"
"jul 14, 2022","30,630.17"
"jul 13, 2022","30,772.79"
"jul 12, 2022","30,981.33"
"jul 11, 2022","31,173.84"
"jul 08, 2022","31,338.15"
"jul 07, 2022","31,384.55"
"jul 06, 2022","31,037.68"
"jul 05, 2022","30,967.82"
"jul 01, 2022","31,097.26"
"jun 30, 2022","30,775.43"
"jun 29, 2022","31,029.31"
"jun 28, 2022","30,946.99"
"jun 27, 2022","31,438.26"
"jun 24, 2022","31,500.68"
"jun 23, 2022","30,677.36"
"jun 22, 2022","30,483.13"
"jun 21, 2022","30,530.25"
"jun 17, 2022","29,888.78"
"jun 16, 2022","29,927.07"
"jun 15, 2022","30,668.53"
"jun 14, 2022","30,364.83"
"jun 13, 2022","30,516.74"
"jun 10, 2022","31,392.79"
"jun 09, 2022","32,272.79"
"jun 08, 2022","32,910.90"
"jun 07, 2022","33,180.14"
"jun 06, 2022","32,915.78"
"jun 03, 2022","32,899.70"
"jun 02, 2022","33,248.28"
"jun 01, 2022","32,813.23"
"may 31, 2022","32,990.12"
"may 27, 2022","33,212.96"
"may 26, 2022","32,637.19"
"may 25, 2022","32,120.28"
"may 24, 2022","31,928.62"
"may 23, 2022","31,880.24"
"may 20, 2022","31,261.90"
"may 19, 2022","31,253.13"
"may 18, 2022","31,490.07"
"may 17, 2022","32,654.59"
"may 16, 2022","32,223.42"
"may 13, 2022","32,196.66"
"may 12, 2022","31,730.30"
"may 11, 2022","31,834.11"
"may 10, 2022","32,160.74"
"may 09, 2022","32,245.70"
"may 06, 2022","32,899.37"
"may 05, 2022","32,997.97"
"may 04, 2022","34,061.06"
"may 03, 2022","33,128.79"
"may 02, 2022","33,061.50"
"Apr 29, 2022","32,977.21"
"Apr 28, 2022","33,916.39"
"Apr 27, 2022","33,301.93"
"Apr 26, 2022","33,240.18"
"Apr 25, 2022","34,049.46"
"Apr 22, 2022","33,811.40"
"Apr 21, 2022","34,792.76"
"Apr 20, 2022","35,160.79"
"Apr 19, 2022","34,911.20"
"Apr 18, 2022","34,411.69"
"Apr 14, 2022","34,451.23"
"Apr 13, 2022","34,564.59"
"Apr 12, 2022","34,220.36"
"Apr 11, 2022","34,308.08"
"Apr 08, 2022","34,721.12"
"Apr 07, 2022","34,583.57"
"Apr 06, 2022","34,496.51"
"Apr 05, 2022","34,641.18"
"Apr 04, 2022","34,921.88"
"Apr 01, 2022","34,818.27"
"mar 31, 2022","34,678.35"
"mar 30, 2022","35,228.81"
"mar 29, 2022","35,294.19"
"mar 28, 2022","34,955.89"
"mar 25, 2022","34,861.24"
"mar 24, 2022","34,707.94"
"mar 23, 2022","34,358.50"
"mar 22, 2022","34,807.46"
"mar 21, 2022","34,552.99"
"mar 18, 2022","34,754.93"
"mar 17, 2022","34,480.76"
"mar 16, 2022","34,063.10"
"mar 15, 2022","33,544.34"
"mar 14, 2022","32,945.24"
"mar 11, 2022","32,944.19"
"mar 10, 2022","33,174.07"
"mar 09, 2022","33,286.25"
"mar 08, 2022","32,632.64"
"mar 07, 2022","32,817.38"
"mar 04, 2022","33,614.80"
"mar 03, 2022","33,794.66"
"mar 02, 2022","33,891.35"
"mar 01, 2022","33,294.95"
"feb 28, 2022","33,892.60"
"feb 25, 2022","34,058.75"
"feb 24, 2022","33,223.83"
"feb 23, 2022","33,131.76"
"feb 22, 2022","33,596.61"
"feb 18, 2022","34,079.18"
"feb 17, 2022","34,312.03"
"feb 16, 2022","34,934.27"
"feb 15, 2022","34,988.84"
"feb 14, 2022","34,566.17"
"feb 11, 2022","34,738.06"
"feb 10, 2022","35,241.59"
"feb 09, 2022","35,768.06"
"feb 08, 2022","35,462.78"
"feb 07, 2022","35,091.13"
"feb 04, 2022","35,089.74"
"feb 03, 2022","35,111.16"
"feb 02, 2022","35,629.33"
"feb 01, 2022","35,405.24"
"Jan 31, 2022","35,131.86"
"Jan 28, 2022","34,725.47"
"Jan 27, 2022","34,160.78"
"Jan 26, 2022","34,168.09"
"Jan 25, 2022","34,297.73"
"Jan 24, 2022","34,364.50"
"Jan 21, 2022","34,265.37"
"Jan 20, 2022","34,715.39"
"Jan 19, 2022","35,028.65"
"Jan 18, 2022","35,368.47"
"Jan 14, 2022","35,911.81"
"Jan 13, 2022","36,113.62"
"Jan 12, 2022","36,290.32"
"Jan 11, 2022","36,252.02"
"Jan 10, 2022","36,068.87"
"Jan 07, 2022","36,231.66"
"Jan 06, 2022","36,236.47"
"Jan 05, 2022","36,407.11"
"Jan 04, 2022","36,799.65"
"Jan 03, 2022","36,585.06"
